期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
7079,2007/11/28,6,9,25,26,31,2,8
7080,2007/12/1,1,15,20,25,27,5,10
7081,2007/12/3,6,18,20,22,35,4,9
7082,2007/12/5,3,5,14,33,34,7,8
7083,2007/12/8,1,5,20,21,24,3,4
7084,2007/12/10,5,11,18,29,34,10,11
7085,2007/12/12,17,24,28,29,33,2,5
7086,2007/12/15,14,18,19,26,28,3,9
7087,2007/12/17,8,18,30,31,33,4,9
7088,2007/12/19,17,18,21,23,33,6,10
7089,2007/12/22,8,13,24,30,34,1,12
7090,2007/12/24,4,20,24,31,33,9,12
7091,2007/12/26,7,12,26,31,32,3,8
7092,2007/12/29,6,19,27,28,29,6,10
7093,2007/12/31,6,8,16,25,27,8,12
8001,2008/1/2,1,2,11,34,35,3,10
8002,2008/1/5,1,12,24,31,32,10,12
8003,2008/1/7,1,11,13,32,35,2,7
8004,2008/1/9,9,22,24,31,33,8,9
8005,2008/1/12,18,25,29,31,34,9,10
8006,2008/1/14,10,12,26,29,34,5,7
8007,2008/1/16,3,4,5,12,28,3,12
8008,2008/1/19,2,6,8,17,32,8,9
8009,2008/1/21,4,8,12,24,30,5,8
8010,2008/1/23,6,23,24,27,29,6,8
8011,2008/1/26,14,20,22,24,27,7,10
8012,2008/1/28,2,10,29,32,35,2,3
8013,2008/1/30,1,11,19,22,35,5,9
8014,2008/2/2,4,7,10,28,34,1,6
8015,2008/2/4,9,18,20,27,33,6,9
8016,2008/2/13,8,10,11,17,19,6,9
8017,2008/2/16,2,14,25,29,32,1,6
8018,2008/2/18,3,6,7,11,30,2,3
8019,2008/2/20,8,24,25,29,31,4,5
8020,2008/2/23,4,5,15,17,33,4,8
8021,2008/2/25,5,10,13,21,24,4,9
8022,2008/2/27,9,12,13,25,31,8,10
8023,2008/3/1,6,26,31,32,34,7,10
8024,2008/3/3,8,12,17,20,30,1,2
8025,2008/3/5,6,10,12,15,28,4,12
8026,2008/3/8,1,21,22,24,25,8,10
8027,2008/3/10,5,17,23,31,32,4,8
8028,2008/3/12,3,11,17,19,26,7,12
8029,2008/3/15,6,11,18,29,30,4,11
8030,2008/3/17,3,21,23,26,35,5,8
8031,2008/3/19,14,20,23,27,28,2,4
8032,2008/3/22,3,9,19,27,33,9,10
8033,2008/3/24,3,10,21,23,30,1,9
8034,2008/3/26,6,7,18,34,35,5,10
8035,2008/3/29,2,12,13,29,30,5,7
8036,2008/3/31,9,19,22,30,32,1,10
8037,2008/4/2,11,20,24,31,35,4,10
8038,2008/4/5,12,13,19,32,33,2,10
8039,2008/4/7,7,11,15,27,35,4,7
8040,2008/4/9,4,8,19,22,29,8,11
8041,2008/4/12,7,17,21,22,28,5,10
8042,2008/4/14,5,10,13,32,35,4,5
8043,2008/4/16,5,8,10,31,33,2,4
8044,2008/4/19,2,21,23,27,32,10,11
8045,2008/4/21,14,32,33,34,35,2,4
8046,2008/4/23,11,25,26,27,35,7,8
8047,2008/4/26,12,18,22,23,30,6,12
8048,2008/4/28,1,13,22,25,27,2,10
8049,2008/4/30,1,11,14,28,30,3,10
8050,2008/5/3,1,5,11,26,27,3,7
8051,2008/5/5,1,7,9,11,33,3,11
8052,2008/5/7,3,18,19,30,35,5,9
8053,2008/5/10,1,13,21,23,32,3,6
8054,2008/5/12,5,14,23,31,35,2,6
8055,2008/5/14,2,14,28,30,35,4,12
8056,2008/5/17,15,19,25,30,31,3,9
8057,2008/5/19,5,8,9,17,33,5,6
8058,2008/5/21,3,9,11,29,33,3,12
8059,2008/5/24,7,13,21,25,31,8,10
8060,2008/5/26,3,13,17,23,30,1,11
8061,2008/5/28,7,10,14,19,32,3,6
8062,2008/5/31,1,15,27,28,29,3,10
8063,2008/6/2,7,11,24,30,35,6,8
8064,2008/6/4,14,18,24,27,31,6,7
8065,2008/6/7,19,22,23,25,32,6,12
8066,2008/6/9,2,7,21,22,25,4,12
8067,2008/6/11,3,10,14,15,22,4,7
8068,2008/6/14,6,9,11,33,34,6,10
8069,2008/6/16,5,13,16,29,33,6,8
8070,2008/6/18,9,17,18,21,31,1,5
8071,2008/6/21,1,5,11,14,25,1,9
8072,2008/6/23,10,25,32,33,34,3,9
8073,2008/6/25,2,5,6,7,31,8,10
8074,2008/6/28,10,13,22,31,35,4,12
8075,2008/6/30,1,10,13,30,33,6,7
8076,2008/7/2,3,5,10,27,34,1,12
8077,2008/7/5,1,8,21,33,34,5,7
8078,2008/7/7,8,17,20,28,31,7,11
8079,2008/7/9,20,23,26,32,33,5,12
8080,2008/7/12,6,9,29,31,33,5,11
8081,2008/7/14,7,8,20,22,29,4,7
8082,2008/7/16,15,19,29,33,35,1,2
8083,2008/7/19,6,14,15,30,31,3,10
8084,2008/7/21,2,17,20,22,25,5,11
8085,2008/7/23,3,7,13,15,19,2,10
8086,2008/7/26,1,6,10,22,35,3,7
8087,2008/7/28,14,22,32,33,35,1,5
8088,2008/7/30,7,11,19,27,31,2,3
8089,2008/8/2,8,13,24,32,33,3,9
8090,2008/8/4,4,11,18,33,34,2,6
8091,2008/8/6,9,13,19,22,25,4,10
8092,2008/8/9,3,23,26,32,34,4,9
8093,2008/8/11,6,7,10,24,30,5,8
8094,2008/8/13,7,12,19,27,34,11,12
8095,2008/8/16,3,4,11,21,25,1,7
8096,2008/8/18,6,7,12,25,28,2,12
8097,2008/8/20,1,10,31,33,35,3,10
8098,2008/8/23,7,10,22,27,33,4,8
8099,2008/8/25,3,18,23,25,30,6,10
8100,2008/8/27,12,20,26,29,30,2,6
8101,2008/8/30,10,13,23,31,33,4,11
8102,2008/9/1,5,25,26,29,35,3,10
8103,2008/9/3,2,11,22,30,34,4,9
8104,2008/9/6,7,8,10,24,34,8,11
8105,2008/9/8,12,21,22,26,35,4,5
8106,2008/9/10,3,5,21,28,33,2,6
8107,2008/9/13,1,2,13,15,16,4,9
8108,2008/9/15,11,16,24,29,32,9,11
8109,2008/9/17,1,10,18,28,34,5,8
8110,2008/9/20,5,16,25,27,33,4,9
8111,2008/9/22,2,11,12,14,19,5,9
8112,2008/9/24,4,18,26,32,33,5,8
8113,2008/9/27,11,14,17,19,22,1,8
8114,2008/9/29,2,3,22,27,31,6,7
8115,2008/10/1,7,9,19,21,33,7,10
8116,2008/10/4,6,8,15,24,31,1,3
8117,2008/10/6,13,23,24,25,30,2,8
8118,2008/10/8,6,9,19,25,30,6,12
8119,2008/10/11,1,2,10,19,27,1,11
8120,2008/10/13,21,23,24,25,32,3,4
8121,2008/10/15,11,23,24,32,35,4,10
8122,2008/10/18,3,6,12,20,29,9,12
8123,2008/10/20,1,6,12,28,31,8,9
8124,2008/10/22,2,10,13,29,33,6,10
8125,2008/10/25,1,4,28,33,34,6,11
8126,2008/10/27,9,29,32,34,35,1,8
8127,2008/10/29,8,21,22,31,33,1,7
8128,2008/11/1,12,15,23,24,25,10,11
8129,2008/11/3,13,16,20,25,27,4,5
8130,2008/11/5,3,5,22,29,34,7,12
8131,2008/11/8,8,9,12,21,32,7,11
8132,2008/11/10,6,14,24,27,29,5,9
8133,2008/11/12,10,12,15,33,35,3,9
8134,2008/11/15,11,13,15,28,35,8,10
8135,2008/11/17,7,22,25,29,33,1,12
8136,2008/11/19,3,28,29,32,34,1,6
8137,2008/11/22,1,10,25,32,35,5,9
8138,2008/11/24,4,5,18,22,35,7,8
8139,2008/11/26,1,6,10,14,22,6,8
8140,2008/11/29,2,9,11,29,32,8,9
8141,2008/12/1,9,15,18,30,34,4,5
8142,2008/12/3,6,18,21,30,35,8,9
8143,2008/12/6,1,2,22,29,32,1,4
8144,2008/12/8,10,19,27,28,33,5,12
8145,2008/12/10,5,16,27,29,30,5,11
8146,2008/12/13,9,23,24,26,33,7,12
8147,2008/12/15,16,18,19,24,35,11,12
8148,2008/12/17,3,7,20,33,35,4,7
8149,2008/12/20,2,5,6,27,29,3,4
8150,2008/12/22,1,9,10,15,25,3,8
8151,2008/12/24,7,10,27,31,34,8,9
8152,2008/12/27,3,5,14,20,33,7,11
8153,2008/12/29,2,4,6,25,26,2,5
8154,2008/12/31,5,7,10,29,32,4,6
9001,2009/1/3,1,15,23,27,30,4,10
9002,2009/1/5,1,4,7,12,30,5,10
9003,2009/1/7,16,18,23,30,32,2,11
9004,2009/1/10,1,3,22,32,35,6,10
9005,2009/1/12,10,11,15,31,32,5,8
9006,2009/1/14,2,4,22,31,35,9,12
9007,2009/1/17,6,14,15,29,35,6,11
9008,2009/1/19,4,17,21,29,31,2,12
9009,2009/1/21,12,18,23,26,32,6,9
9010,2009/1/24,2,9,12,21,29,7,11
9011,2009/2/2,2,11,13,14,21,2,4
9012,2009/2/4,2,5,20,25,31,10,12
9013,2009/2/7,5,24,26,30,35,5,12
9014,2009/2/9,8,14,15,25,26,7,9
9015,2009/2/11,1,5,10,16,27,3,4
9016,2009/2/14,10,11,20,26,27,9,11
9017,2009/2/16,5,11,23,26,33,4,12
9018,2009/2/18,1,6,13,28,29,3,9
9019,2009/2/21,4,29,31,32,35,4,10
9020,2009/2/23,5,16,18,32,35,2,11
9021,2009/2/25,1,15,31,32,34,3,8
9022,2009/2/28,12,14,17,34,35,4,11
9023,2009/3/2,15,17,21,27,33,7,11
9024,2009/3/4,29,31,32,33,35,10,11
9025,2009/3/7,3,17,22,23,33,4,10
9026,2009/3/9,24,30,31,32,34,10,12
9027,2009/3/11,3,22,26,33,34,9,10
9028,2009/3/14,6,20,30,32,35,9,11
9029,2009/3/16,3,4,13,17,24,4,11
9030,2009/3/18,1,7,27,30,32,1,4
9031,2009/3/21,7,11,19,21,22,1,11
9032,2009/3/23,4,12,20,26,29,6,10
9033,2009/3/25,2,8,18,21,32,8,11
9034,2009/3/28,5,19,31,32,35,4,9
9035,2009/3/30,3,7,9,28,33,3,8
9036,2009/4/1,2,12,26,31,33,9,10
9037,2009/4/4,17,18,19,25,31,1,11
9038,2009/4/6,6,17,20,29,32,4,5
9039,2009/4/8,1,3,7,10,33,3,4
9040,2009/4/11,3,16,30,32,33,1,10
9041,2009/4/13,5,9,20,23,29,4,10
9042,2009/4/15,11,24,25,26,31,2,7
9043,2009/4/18,5,21,22,32,35,2,5
9044,2009/4/20,1,7,18,29,34,3,9
9045,2009/4/22,1,9,14,24,35,6,9
9046,2009/4/25,1,9,24,34,35,4,9
9047,2009/4/27,13,18,21,24,29,3,6
9048,2009/4/29,5,6,22,25,27,11,12
9049,2009/5/2,5,16,28,29,34,11,12
9050,2009/5/4,5,15,28,32,33,8,9
9051,2009/5/6,3,11,22,26,29,5,12
9052,2009/5/9,23,24,30,34,35,1,3
9053,2009/5/11,5,9,24,31,33,5,6
9054,2009/5/13,2,12,19,29,30,7,12
9055,2009/5/16,5,8,14,23,24,5,6
9056,2009/5/18,4,13,17,32,35,3,6
9057,2009/5/20,6,15,22,27,30,2,9
9058,2009/5/23,8,10,14,27,32,2,7
9059,2009/5/25,2,13,14,29,33,4,11
9060,2009/5/27,18,28,29,30,31,4,8
9061,2009/5/30,2,10,21,26,34,2,10
9062,2009/6/1,4,22,23,29,31,5,11
9063,2009/6/3,5,6,18,21,22,1,7
9064,2009/6/6,6,10,11,17,34,11,12
9065,2009/6/8,1,12,24,27,32,2,11
9066,2009/6/10,1,8,19,24,31,6,12
9067,2009/6/13,3,6,25,28,32,2,5
9068,2009/6/15,2,12,15,20,28,1,12
9069,2009/6/17,14,16,27,30,33,8,12
9070,2009/6/20,10,21,24,30,31,3,10
9071,2009/6/22,4,20,29,30,33,2,11
9072,2009/6/24,23,26,29,32,33,5,10
9073,2009/6/27,1,10,19,21,30,1,4
9074,2009/6/29,15,17,19,23,32,1,11
9075,2009/7/1,1,7,11,32,33,9,11
9076,2009/7/4,3,9,11,18,24,4,5
9077,2009/7/6,7,20,28,32,34,6,8
9078,2009/7/8,11,23,26,31,34,5,11
9079,2009/7/11,1,2,7,13,34,4,10
9080,2009/7/13,7,16,19,29,35,2,11
9081,2009/7/15,2,15,20,25,33,3,6
9082,2009/7/18,5,11,26,29,32,8,11
9083,2009/7/20,2,5,28,34,35,1,7
9084,2009/7/22,5,9,19,26,35,2,10
9085,2009/7/25,6,13,27,33,34,9,12
9086,2009/7/27,1,2,7,26,29,10,12
9087,2009/7/29,10,24,28,30,33,1,10
9088,2009/8/1,13,16,27,32,34,3,9
9089,2009/8/3,3,6,11,19,27,2,7
9090,2009/8/5,18,25,30,33,34,4,10
9091,2009/8/8,1,5,17,32,34,3,7
9092,2009/8/10,10,21,22,27,29,8,12
9093,2009/8/12,7,9,22,30,33,9,11
9094,2009/8/15,1,5,21,23,29,5,12
9095,2009/8/17,8,18,24,30,33,1,6
9096,2009/8/19,7,12,28,32,33,1,3
9097,2009/8/22,6,13,14,22,25,1,4
9098,2009/8/24,11,17,19,25,26,2,10
9099,2009/8/26,3,9,21,23,33,6,10
9100,2009/8/29,16,20,25,29,33,1,8
9101,2009/8/31,2,10,14,22,26,4,9
9102,2009/9/2,11,13,29,32,35,10,12
9103,2009/9/5,16,20,28,32,33,1,2
9104,2009/9/7,15,25,29,32,33,10,11
9105,2009/9/9,1,25,26,34,35,6,11
9106,2009/9/12,11,21,22,25,34,6,9
9107,2009/9/14,11,12,33,34,35,1,10
9108,2009/9/16,1,9,14,29,30,7,10
9109,2009/9/19,2,11,13,26,35,6,10
9110,2009/9/21,22,28,30,31,34,7,9
9111,2009/9/23,4,11,13,19,35,10,12
9112,2009/9/26,2,8,12,34,35,4,5
9113,2009/9/28,3,4,10,18,27,6,8
9114,2009/9/30,2,8,25,29,33,3,7
9115,2009/10/3,1,2,6,8,26,5,12
9116,2009/10/5,12,15,23,30,33,9,12
9117,2009/10/7,7,21,29,31,33,9,10
9118,2009/10/10,10,17,18,21,34,5,11
9119,2009/10/12,3,12,22,23,28,4,12
9120,2009/10/14,11,23,27,28,32,2,5
9121,2009/10/17,4,5,8,11,22,2,10
9122,2009/10/19,1,2,11,31,33,5,6
9123,2009/10/21,10,21,28,29,32,6,10
9124,2009/10/24,1,3,14,32,35,7,11
9125,2009/10/26,8,20,23,29,31,2,11
9126,2009/10/28,14,23,27,28,33,8,12
9127,2009/10/31,5,9,27,32,34,5,8
9128,2009/11/2,6,21,28,32,34,4,7
9129,2009/11/4,2,10,18,32,33,3,8
9130,2009/11/7,9,14,25,32,34,2,8
9131,2009/11/9,2,3,8,33,34,3,11
9132,2009/11/11,2,10,12,15,28,4,7
9133,2009/11/14,1,8,24,27,34,10,11
9134,2009/11/16,2,16,19,28,33,7,11
9135,2009/11/18,6,8,15,20,32,5,6
9136,2009/11/21,7,13,23,24,29,6,10
9137,2009/11/23,12,28,29,30,34,1,9
9138,2009/11/25,3,4,14,28,32,9,10
9139,2009/11/28,14,16,20,22,32,5,9
9140,2009/11/30,7,8,19,26,30,1,12
9141,2009/12/2,13,14,21,30,33,2,8
9142,2009/12/5,5,6,13,24,31,3,11
9143,2009/12/7,1,9,10,11,22,1,12
9144,2009/12/9,18,26,32,33,34,4,6
9145,2009/12/12,5,11,14,22,35,3,10
9146,2009/12/14,11,17,23,24,25,3,6
9147,2009/12/16,6,12,18,22,29,5,8
9148,2009/12/19,2,4,13,14,33,1,9
9149,2009/12/21,1,3,10,12,20,2,7
9150,2009/12/23,4,11,18,25,34,5,7
9151,2009/12/26,3,8,14,30,31,4,9
9152,2009/12/28,1,23,29,30,32,7,12
9153,2009/12/30,21,22,30,32,34,3,7
10001,2010/1/2,2,6,7,12,27,2,8
10002,2010/1/4,4,23,25,26,30,7,10
10003,2010/1/6,5,14,23,27,30,2,8
10004,2010/1/9,3,6,21,24,34,4,6
10005,2010/1/11,4,17,19,22,30,2,3
10006,2010/1/13,3,13,19,30,34,2,5
10007,2010/1/16,7,23,26,29,32,8,11
10008,2010/1/18,11,23,25,31,32,5,11
10009,2010/1/20,2,5,13,27,32,3,11
10010,2010/1/23,15,22,24,32,35,2,9
10011,2010/1/25,2,3,11,27,32,8,11
10012,2010/1/27,20,24,30,31,33,5,12
10013,2010/1/30,18,21,22,26,34,9,12
10014,2010/2/1,18,19,30,33,35,2,4
10015,2010/2/3,3,10,14,18,28,8,10
10016,2010/2/6,10,12,20,23,32,4,10
10017,2010/2/8,13,21,23,27,34,9,12
10018,2010/2/10,3,10,26,32,33,4,12
10019,2010/2/20,3,11,19,26,27,2,9
10020,2010/2/22,8,18,26,32,33,1,6
10021,2010/2/24,11,20,23,24,25,7,9
10022,2010/2/27,2,11,13,14,25,2,5
10023,2010/3/1,11,13,29,32,33,2,8
10024,2010/3/3,3,14,19,24,25,4,11
10025,2010/3/6,9,11,13,14,25,1,7
10026,2010/3/8,5,23,25,31,35,7,10
10027,2010/3/10,5,23,26,32,34,2,9
10028,2010/3/13,1,2,7,20,35,1,3
10029,2010/3/15,21,22,33,34,35,3,4
10030,2010/3/17,10,12,19,32,35,2,7
10031,2010/3/20,5,13,16,17,35,6,8
10032,2010/3/22,13,16,23,24,33,7,11
10033,2010/3/24,12,19,28,29,30,5,8
10034,2010/3/27,1,6,19,25,26,3,9
10035,2010/3/29,14,16,20,31,34,1,7
10036,2010/3/31,19,25,28,31,33,1,8
10037,2010/4/3,19,21,26,34,35,1,9
10038,2010/4/5,8,10,25,29,33,1,2
10039,2010/4/7,7,19,26,28,32,1,8
10040,2010/4/10,13,20,26,31,35,2,11
10041,2010/4/12,16,22,28,29,34,4,12
10042,2010/4/14,1,5,19,34,35,6,7
10043,2010/4/17,5,8,10,33,35,2,10
10044,2010/4/19,6,21,24,28,30,2,7
10045,2010/4/21,8,17,18,20,28,9,10
10046,2010/4/24,2,15,19,26,27,5,6
10047,2010/4/26,4,8,11,30,31,2,8
10048,2010/4/28,2,3,10,12,25,3,9
10049,2010/5/1,1,25,29,31,33,4,10
10050,2010/5/3,7,8,15,30,35,5,10
10051,2010/5/5,6,10,20,24,32,6,10
10052,2010/5/8,4,6,25,29,32,5,6
10053,2010/5/10,9,19,22,26,34,9,11
10054,2010/5/12,12,25,29,30,33,10,11
10055,2010/5/15,13,14,17,27,32,2,10
10056,2010/5/17,5,9,23,25,30,9,12
10057,2010/5/19,15,17,24,32,35,7,9
10058,2010/5/22,6,15,17,19,30,1,12
10059,2010/5/24,6,10,14,25,34,1,3
10060,2010/5/26,10,13,22,33,34,1,5
10061,2010/5/29,5,12,14,17,22,5,7
10062,2010/5/31,6,7,18,30,31,7,8
10063,2010/6/2,7,14,16,30,31,3,6
10064,2010/6/5,7,10,12,20,21,6,9
10065,2010/6/7,5,8,13,14,32,8,11
10066,2010/6/9,15,21,22,24,27,1,6
10067,2010/6/12,1,11,19,30,32,3,10
10068,2010/6/14,11,17,19,20,34,6,10
10069,2010/6/16,6,17,18,25,29,8,9
10070,2010/6/19,5,14,23,25,28,11,12
10071,2010/6/21,7,12,26,30,32,2,7
10072,2010/6/23,5,10,17,23,25,3,10
10073,2010/6/26,4,9,11,30,32,1,11
10074,2010/6/28,3,7,20,27,32,2,12
10075,2010/6/30,10,12,17,23,27,5,7
10076,2010/7/3,9,12,16,19,35,2,12
10077,2010/7/5,6,7,9,17,24,2,12
10078,2010/7/7,2,3,15,28,35,1,11
10079,2010/7/10,1,4,21,22,24,2,5
10080,2010/7/12,8,19,27,29,34,4,10
10081,2010/7/14,14,18,20,24,27,5,10
10082,2010/7/17,5,8,24,29,30,4,6
10083,2010/7/19,7,11,21,22,35,4,7
10084,2010/7/21,3,13,14,22,26,2,5
10085,2010/7/24,2,10,16,18,34,2,3
10086,2010/7/26,1,2,12,19,35,5,7
10087,2010/7/28,1,12,20,21,24,2,8
10088,2010/7/31,3,5,14,30,35,3,6
10089,2010/8/2,4,10,13,18,23,8,10
10090,2010/8/4,8,24,26,31,32,7,9
10091,2010/8/7,6,10,23,26,31,5,7
10092,2010/8/9,2,15,29,30,34,2,12
10093,2010/8/11,2,4,9,28,29,5,8
10094,2010/8/14,20,32,33,34,35,6,7
10095,2010/8/16,12,14,16,19,25,1,6
10096,2010/8/18,4,9,24,30,35,1,10
10097,2010/8/21,9,17,21,28,29,2,8
10098,2010/8/23,2,3,12,13,25,1,7
10099,2010/8/25,3,11,17,21,30,1,8
10100,2010/8/28,19,20,30,33,35,6,8
10101,2010/8/30,11,15,22,27,35,5,8
10102,2010/9/1,4,15,19,24,35,1,10
10103,2010/9/4,10,14,29,30,35,5,8
10104,2010/9/6,14,25,30,32,33,1,11
10105,2010/9/8,5,17,26,27,35,8,9
10106,2010/9/11,5,27,28,29,34,9,12
10107,2010/9/13,14,17,22,27,34,3,5
10108,2010/9/15,1,10,13,19,34,9,12
10109,2010/9/18,1,2,8,11,25,10,12
10110,2010/9/20,21,29,30,33,35,7,11
10111,2010/9/22,3,6,13,14,29,1,2
10112,2010/9/25,14,15,18,34,35,8,10
10113,2010/9/27,5,16,22,23,32,4,10
10114,2010/9/29,3,7,22,25,35,3,11
10115,2010/10/2,5,7,10,15,32,3,8
10116,2010/10/4,14,22,27,28,35,4,10
10117,2010/10/6,4,6,21,27,34,5,9
10118,2010/10/9,19,22,23,29,35,8,10
10119,2010/10/11,5,13,14,23,26,2,3
10120,2010/10/13,8,10,18,34,35,6,10
10121,2010/10/16,21,22,31,32,34,2,12
10122,2010/10/18,5,6,11,13,26,2,7
10123,2010/10/20,18,20,30,32,33,1,11
10124,2010/10/23,1,9,27,29,34,1,6
10125,2010/10/25,1,7,9,14,19,9,12
10126,2010/10/27,3,5,9,13,33,5,11
10127,2010/10/30,3,22,24,30,33,4,10
10128,2010/11/1,6,17,19,29,35,2,8
10129,2010/11/3,14,15,24,25,26,3,7
10130,2010/11/6,5,6,9,10,34,8,11
10131,2010/11/8,10,15,22,28,29,4,12
10132,2010/11/10,18,21,23,25,29,6,11
10133,2010/11/13,11,16,17,21,22,3,6
10134,2010/11/15,9,12,13,19,30,4,5
10135,2010/11/17,14,17,19,26,32,3,4
10136,2010/11/20,3,13,18,30,33,7,8
10137,2010/11/22,22,27,28,33,35,9,11
10138,2010/11/24,8,12,14,19,27,5,6
10139,2010/11/27,3,13,16,19,29,7,9
10140,2010/11/29,6,18,20,30,31,3,6
10141,2010/12/1,5,11,17,23,33,3,10
10142,2010/12/4,10,11,19,21,27,4,6
10143,2010/12/6,10,16,18,22,27,6,8
10144,2010/12/8,2,11,16,22,31,10,11
10145,2010/12/11,18,19,27,28,33,3,6
10146,2010/12/13,14,17,30,31,34,4,10
10147,2010/12/15,1,15,19,21,23,11,12
10148,2010/12/18,3,4,8,10,35,2,6
10149,2010/12/20,5,22,24,25,30,1,6
10150,2010/12/22,5,24,28,29,35,1,9
10151,2010/12/25,1,10,32,33,35,3,8
10152,2010/12/27,2,5,18,22,23,7,12
10153,2010/12/29,6,7,16,24,35,4,6
11001,2011/1/1,7,8,15,32,34,5,12
11002,2011/1/3,11,13,27,28,29,2,6
11003,2011/1/5,1,24,27,30,31,1,6
11004,2011/1/8,7,8,10,23,25,7,9
11005,2011/1/10,1,7,25,27,30,7,12
11006,2011/1/12,2,8,16,26,35,11,12
11007,2011/1/15,14,24,32,33,35,2,9
11008,2011/1/17,1,23,26,27,30,5,6
11009,2011/1/19,9,10,11,14,24,3,8
11010,2011/1/22,4,8,10,14,27,5,7
11011,2011/1/24,2,17,23,24,30,2,9
11012,2011/1/26,3,12,19,25,30,8,11
11013,2011/1/29,5,8,14,28,30,4,6
11014,2011/1/31,2,14,20,21,24,2,9
11015,2011/2/9,8,18,19,22,23,1,3
11016,2011/2/12,15,20,30,33,35,6,9
11017,2011/2/14,16,19,24,26,31,2,4
11018,2011/2/16,16,22,24,32,34,2,10
11019,2011/2/19,8,21,23,27,33,6,11
11020,2011/2/21,9,12,19,22,28,1,5
11021,2011/2/23,1,9,13,17,30,2,8
11022,2011/2/26,9,14,24,25,34,1,4
11023,2011/2/28,5,13,16,18,24,2,12
11024,2011/3/2,12,15,16,20,33,8,12
11025,2011/3/5,8,9,25,28,29,2,10
11026,2011/3/7,1,9,15,20,29,7,9
11027,2011/3/9,5,14,25,34,35,2,5
